"Column","Type","Extra","Comment"
fields__customfield_19050,varchar,"",""
fields__customfield_19150,varchar,"",""
fields__customfield_19151,varchar,"",""
fields__customfield_19152,varchar,"",""
fields__customfield_19153,varchar,"",""
fields__customfield_19162,varchar,"",""
fields__customfield_19353,varchar,"",""
fields__customfield_19463,varchar,"",""
fields__customfield_19550,varchar,"",""
fields__customfield_19950,varchar,"",""
fields__customfield_19951,varchar,"",""
fields__customfield_19952,varchar,"",""
fields__customfield_20063,varchar,"",""
fields__customfield_20078,varchar,"",""
fields__customfield_20153,varchar,"",""
fields__customfield_20167,varchar,"",""
fields__customfield_20175,varchar,"",""
fields__customfield_20176,varchar,"",""
fields__customfield_20177,varchar,"",""
fields__customfield_20272,varchar,"",""
fields__customfield_20275,varchar,"",""
fields__customfield_20276,varchar,"",""
fields__customfield_20279,varchar,"",""
fields__customfield_20283,varchar,"",""
fields__customfield_20287,varchar,"",""
fields__customfield_20288,varchar,"",""
fields__customfield_20289,varchar,"",""
fields__customfield_20358,varchar,"",""
fields__customfield_20359,varchar,"",""
fields__customfield_20450,varchar,"",""
fields__customfield_20550,varchar,"",""
fields__customfield_20955,varchar,"",""
fields__customfield_20963,varchar,"",""
fields__customfield_20964,varchar,"",""
fields__customfield_20965,varchar,"",""
fields__description,varchar,"",""
fields__duedate,varchar,"",""
fields__environment,varchar,"",""
fields__fixversions,varchar,"",""
fields__issuelinks,varchar,"",""
fields__issuetype__avatarid,varchar,"",""
fields__issuetype__description,varchar,"",""
fields__issuetype__iconurl,varchar,"",""
fields__issuetype__id,varchar,"",""
fields__issuetype__name,varchar,"",""
fields__issuetype__self,varchar,"",""
fields__issuetype__subtask,boolean,"",""
fields__labels,varchar,"",""
fields__lastviewed,varchar,"",""
fields__parent__fields__issuetype__avatarid,double,"",""
fields__parent__fields__issuetype__description,varchar,"",""
fields__parent__fields__issuetype__iconurl,varchar,"",""
fields__parent__fields__issuetype__id,varchar,"",""
fields__parent__fields__issuetype__name,varchar,"",""
fields__parent__fields__issuetype__self,varchar,"",""
fields__parent__fields__issuetype__subtask,varchar,"",""
fields__parent__fields__priority__iconurl,varchar,"",""
fields__parent__fields__priority__id,varchar,"",""
fields__parent__fields__priority__name,varchar,"",""
fields__parent__fields__priority__self,varchar,"",""
fields__parent__fields__status__description,varchar,"",""
fields__parent__fields__status__iconurl,varchar,"",""
fields__parent__fields__status__id,varchar,"",""
fields__parent__fields__status__name,varchar,"",""
fields__parent__fields__status__self,varchar,"",""
fields__parent__fields__status__statuscategory__colorname,varchar,"",""
fields__parent__fields__status__statuscategory__id,double,"",""
fields__parent__fields__status__statuscategory__key,varchar,"",""
fields__parent__fields__status__statuscategory__name,varchar,"",""
fields__parent__fields__status__statuscategory__self,varchar,"",""
fields__parent__fields__summary,varchar,"",""
fields__parent__id,varchar,"",""
fields__parent__key,varchar,"",""
fields__parent__self,varchar,"",""
fields__priority,double,"",""
fields__priority__iconurl,varchar,"",""
fields__priority__id,varchar,"",""
fields__priority__name,varchar,"",""
fields__priority__self,varchar,"",""
fields__project__avatarurls__16x16,varchar,"",""
fields__project__avatarurls__24x24,varchar,"",""
fields__project__avatarurls__32x32,varchar,"",""
fields__project__avatarurls__48x48,varchar,"",""
fields__project__id,varchar,"",""
fields__project__key,varchar,"",""
fields__project__name,varchar,"",""
fields__project__projectcategory__description,varchar,"",""
fields__project__projectcategory__id,varchar,"",""
fields__project__projectcategory__name,varchar,"",""
fields__project__projectcategory__self,varchar,"",""
fields__project__projecttypekey,varchar,"",""
fields__project__self,varchar,"",""
fields__reporter,double,"",""
fields__reporter__active,boolean,"",""
fields__reporter__avatarurls__16x16,varchar,"",""
fields__reporter__avatarurls__24x24,varchar,"",""
fields__reporter__avatarurls__32x32,varchar,"",""
fields__reporter__avatarurls__48x48,varchar,"",""
fields__reporter__displayname,varchar,"",""
fields__reporter__emailaddress,varchar,"",""
fields__reporter__key,varchar,"",""
fields__reporter__name,varchar,"",""
fields__reporter__self,varchar,"",""
fields__reporter__timezone,varchar,"",""
fields__resolution,varchar,"",""
fields__resolution__description,varchar,"",""
fields__resolution__id,varchar,"",""
fields__resolution__name,varchar,"",""
fields__resolution__self,varchar,"",""
fields__resolutiondate,varchar,"",""
fields__security__description,varchar,"",""
fields__security__id,varchar,"",""
fields__security__name,varchar,"",""
fields__security__self,varchar,"",""
fields__status__description,varchar,"",""
fields__status__iconurl,varchar,"",""
fields__status__id,varchar,"",""
fields__status__name,varchar,"",""
fields__status__self,varchar,"",""
fields__status__statuscategory__colorname,varchar,"",""
fields__status__statuscategory__id,bigint,"",""
fields__status__statuscategory__key,varchar,"",""
fields__status__statuscategory__name,varchar,"",""
fields__status__statuscategory__self,varchar,"",""
fields__subtasks,varchar,"",""
fields__summary,varchar,"",""
